종목명,현재가,전일비,등락률,거래량,거래대금,market,code,name,close,volume,trading_value,change_rate,change,trade_date,listed_shares_x,market_cap,stock_kind,sector_name,listed_shares_y,security_group,history_days,avg_trading_value,std_trading_value,avg_volume,std_volume,tv_ratio,tv_z,vol_ratio,vol_z,tv_z_rel,size_bucket,rank_overall,rank_in_bucket,is_top_bucket,pattern_label,signal_tone,signal_strength,market_tv_today,market_tv_mean,market_tv_std,market_tv_z,market_ret_today,market_ret_mean,market_ret_std,market_ret_z,market_regime,window_days,min_history_days
한신공영,"11,050","상한가2,550",+30.00%,"3,651,333",,KOSPI,004960,한신공영,11050,3651333,40347229650,30.0,2550,2025-12-03,11570702.0,127856257100.0,보통주,-,11570702.0,주권,54,306592496.1111111,228769633.04928303,38250.351851851854,26851.9732721771,131.59888177882183,175.02601468641197,95.45880817363577,134.55557293779503,175.6186334961698,small,1.0,1.0,True,boom_and_fade,🔴,3,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
동신건설,"17,910","상승4,060",+29.31%,"739,650",,KOSDAQ,025950,동신건설,17910,739650,13247131500,29.31,4060,2025-12-03,8400000.0,150444000000.0,보통주,우량기업부,8400000.0,주권,54,219337780.55555555,102410986.30611524,14208.574074074075,6226.203312058545,60.396031483708136,127.21089981990066,52.05659597817176,116.51425267802188,127.8035186296585,small,2.0,2.0,True,normal,🔴,3,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
세이브존I&C,"2,700",상승150,+5.88%,"2,353,865",,KOSPI,067830,세이브존I&C,2700,2353865,6355435500,5.88,150,2025-12-03,41040895.0,110810416500.0,보통주,-,41040895.0,주권,54,132178508.2037037,308097025.6741257,53120.648148148146,121477.57620750926,48.08221537956439,20.199016781092322,44.31167694782841,18.93966297056912,20.79163559085016,small,3.0,3.0,True,boom_and_fade,🟢,3,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
미래컴퍼니,"21,400","상승4,020",+23.13%,"973,660",,KOSDAQ,049950,미래컴퍼니,21400,973660,20836324000,23.13,4020,2025-12-03,8817884.0,188702717600.0,보통주,우량기업부,8817884.0,주권,54,1280507832.5,1098014758.4661098,78896.33333333333,64297.48943013925,16.271922335156823,17.810157847804184,12.341004440426046,13.915996947887812,18.402776657562022,small,4.0,4.0,True,normal,🔴,3,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
인벤티지랩,"78,300","상승7,800",+11.06%,"6,634,313",,KOSDAQ,389470,인벤티지랩,78300,6634313,519466707900,11.06,7800,2025-12-03,12369069.0,968498102700.0,보통주,기술성장기업부,12369069.0,주권,54,36864616489.81481,27436307279.27783,668681.9629629629,427735.0446647296,14.091200651538625,17.589906925072466,9.921477424937605,13.94702424187165,18.182525734830303,mid,5.0,1.0,True,normal,🔴,3,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
이건홀딩스,"4,695",하락135,-2.80%,"1,761,882",,KOSDAQ,039020,이건홀딩스,4695,1761882,8272035990,-2.8,135,2025-12-03,22584709.0,106035208755.0,보통주,중견기업부,22584709.0,주권,54,631189946.462963,610415576.5960089,138557.90740740742,127543.03477180784,13.105462208887364,12.517449318948122,12.715853125722138,12.727657731344909,13.11006812870596,small,6.0,5.0,True,sudden_spike,🟢,3,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
사조산업,"59,000","상승6,700",+12.81%,"101,764",,KOSPI,007160,사조산업,59000,101764,6004076000,12.81,6700,2025-12-03,5000000.0,295000000000.0,보통주,-,5000000.0,주권,54,525396238.4259259,447690400.7300138,10576.351851851852,8544.980108961265,11.427710289643608,12.23765296874898,9.621843280694351,10.671487468123901,12.830271778506818,small,7.0,6.0,True,normal,🔴,3,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
다우데이타,"19,360","상승1,650",+9.32%,"590,354",,KOSDAQ,032190,다우데이타,19360,590354,11429253440,9.32,1650,2025-12-03,38300000.0,741488000000.0,보통주,우량기업부,38300000.0,주권,54,1880725425.2777777,868086449.354754,107727.83333333333,47955.08731615448,6.077045211590061,10.999512804075692,5.480050807049246,10.064128618614482,11.59213161383353,small,8.0,7.0,True,normal,🔴,3,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
현대바이오,"6,100",상승520,+9.32%,"2,963,611",,KOSDAQ,048410,현대바이오,6100,2963611,18078027100,9.32,520,2025-12-03,96040960.0,585849856000.0,보통주,중견기업부,96040960.0,주권,54,2781323280.9259257,1740790543.1731286,521550.48148148146,300615.5625863114,6.4997935421522355,8.787216749920473,5.682309009823487,8.123533251267938,9.37983555967831,small,9.0,8.0,True,sudden_spike,🔴,3,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
아스트,626,상승35,+5.92%,"3,594,446",,KOSDAQ,067390,아스트,626,3594446,2250123196,5.92,35,2025-12-03,403157579.0,252376644454.0,보통주,중견기업부,403157579.0,주권,54,490119510.2407407,216770832.8468243,896286.4814814815,377378.50245577557,4.590968425016925,8.119190495535541,4.010376229326479,7.14974356239254,8.711809305293379,small,10.0,9.0,True,normal,🟢,3,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
