trade_date,code,name,market,market_name,sector_name,close,change,change_rate,open,high,low,volume,trading_value,market_cap,listed_shares,isu_cd,source_market
2024-07-23,095570,AJ네트웍스,KOSPI,KOSPI,-,4405.0,40.0,0.92,4365.0,4460.0,4360.0,85370.0,375164000.0,199338403395.0,45252759.0,095570,KOSPI
2024-07-23,006840,AK홀딩스,KOSPI,KOSPI,-,13930.0,30.0,0.22,13900.0,13990.0,13890.0,1791.0,24926530.0,184538524730.0,13247561.0,006840,KOSPI
2024-07-23,027410,BGF,KOSPI,KOSPI,-,3565.0,-5.0,-0.14,3570.0,3570.0,3540.0,35288.0,125443010.0,341230359915.0,95716791.0,027410,KOSPI
2024-07-23,282330,BGF리테일,KOSPI,KOSPI,-,101600.0,-3100.0,-2.96,104000.0,105100.0,100900.0,67527.0,6890580000.0,1756044849600.0,17283906.0,282330,KOSPI
2024-07-23,138930,BNK금융지주,KOSPI,KOSPI,-,8620.0,10.0,0.12,8620.0,8800.0,8610.0,656324.0,5720194860.0,2776402335560.0,322088438.0,138930,KOSPI
2024-07-23,001460,BYC,KOSPI,KOSPI,-,33350.0,-200.0,-0.6,32850.0,34150.0,32850.0,2720.0,90435500.0,208309102500.0,6246150.0,001460,KOSPI
2024-07-23,001465,BYC우,KOSPI,KOSPI,-,15120.0,120.0,0.8,15010.0,15150.0,14980.0,637.0,9575320.0,32566212000.0,2153850.0,001465,KOSPI
2024-07-23,001040,CJ,KOSPI,KOSPI,-,127500.0,12300.0,10.68,115200.0,128900.0,115200.0,221894.0,27800891800.0,3720067245000.0,29176998.0,001040,KOSPI
2024-07-23,079160,CJ CGV,KOSPI,KOSPI,-,5660.0,-30.0,-0.53,5660.0,5720.0,5650.0,182133.0,1032751890.0,937179692660.0,165579451.0,079160,KOSPI
2024-07-23,00104K,CJ4우(전환),KOSPI,KOSPI,-,95400.0,8000.0,9.15,87200.0,95500.0,87200.0,40272.0,3698023000.0,403209244800.0,4226512.0,00104K,KOSPI
2024-07-23,000120,CJ대한통운,KOSPI,KOSPI,-,93100.0,1900.0,2.08,91200.0,95300.0,90900.0,108741.0,10191475700.0,2123829226400.0,22812344.0,000120,KOSPI
2024-07-23,011150,CJ씨푸드,KOSPI,KOSPI,-,4310.0,80.0,1.89,4230.0,4370.0,4220.0,693911.0,2970541260.0,154861631630.0,35930773.0,011150,KOSPI
2024-07-23,011155,CJ씨푸드1우,KOSPI,KOSPI,-,21050.0,150.0,0.72,20850.0,21050.0,20700.0,65.0,1351050.0,4210000000.0,200000.0,011155,KOSPI
2024-07-23,001045,CJ우,KOSPI,KOSPI,-,59800.0,1900.0,3.28,57900.0,60400.0,57800.0,15484.0,918090100.0,135161335400.0,2260223.0,001045,KOSPI
2024-07-23,097950,CJ제일제당,KOSPI,KOSPI,-,385000.0,19500.0,5.34,366500.0,387000.0,366500.0,47835.0,18256804500.0,5795861610000.0,15054186.0,097950,KOSPI
2024-07-23,097955,CJ제일제당 우,KOSPI,KOSPI,-,152800.0,5600.0,3.8,147500.0,153700.0,147300.0,3476.0,525383500.0,202831762400.0,1327433.0,097955,KOSPI
2024-07-23,000480,CR홀딩스,KOSPI,KOSPI,-,5910.0,-80.0,-1.34,5900.0,5960.0,5900.0,24784.0,146669680.0,277122795900.0,46890490.0,000480,KOSPI
2024-07-23,000590,CS홀딩스,KOSPI,KOSPI,-,69100.0,600.0,0.88,69000.0,69300.0,68500.0,318.0,21947700.0,79774706200.0,1154482.0,000590,KOSPI
2024-07-23,012030,DB,KOSPI,KOSPI,-,1173.0,-12.0,-1.01,1188.0,1203.0,1168.0,418155.0,492471147.0,235977023409.0,201173933.0,012030,KOSPI
2024-07-23,016610,DB금융투자,KOSPI,KOSPI,-,4460.0,0.0,0.0,4460.0,4465.0,4420.0,40986.0,182091265.0,189310894940.0,42446389.0,016610,KOSPI
2024-07-23,005830,DB손해보험,KOSPI,KOSPI,-,106300.0,700.0,0.66,106800.0,110200.0,106100.0,116189.0,12565877200.0,7526040000000.0,70800000.0,005830,KOSPI
2024-07-23,000990,DB하이텍,KOSPI,KOSPI,-,52700.0,-1000.0,-1.86,54300.0,55300.0,52700.0,478539.0,25809147500.0,2339805587600.0,44398588.0,000990,KOSPI
2024-07-23,139130,DGB금융지주,KOSPI,KOSPI,-,8060.0,40.0,0.5,8020.0,8160.0,8020.0,455865.0,3692181360.0,1363315413980.0,169145833.0,139130,KOSPI
2024-07-23,001530,DI동일,KOSPI,KOSPI,-,28100.0,50.0,0.18,28150.0,28150.0,27950.0,39303.0,1101967100.0,708560383200.0,25215672.0,001530,KOSPI
2024-07-23,000210,DL,KOSPI,KOSPI,-,53700.0,-600.0,-1.1,54300.0,55000.0,53400.0,45741.0,2472783900.0,1125330970800.0,20955884.0,000210,KOSPI
2024-07-23,000215,DL우,KOSPI,KOSPI,-,27250.0,-50.0,-0.18,27450.0,27650.0,26850.0,3589.0,97198000.0,45946633750.0,1686115.0,000215,KOSPI
2024-07-23,375500,DL이앤씨,KOSPI,KOSPI,-,32650.0,-750.0,-2.25,33200.0,33850.0,32650.0,65249.0,2164947550.0,1263346790950.0,38693623.0,375500,KOSPI
2024-07-23,37550L,DL이앤씨2우(전환),KOSPI,KOSPI,-,22550.0,-100.0,-0.44,23200.0,23200.0,22550.0,468.0,10617150.0,47624495050.0,2111951.0,37550L,KOSPI
2024-07-23,37550K,DL이앤씨우,KOSPI,KOSPI,-,17040.0,50.0,0.29,17100.0,17190.0,17020.0,3648.0,62271240.0,36020600400.0,2113885.0,37550K,KOSPI
2024-07-23,007340,DN오토모티브,KOSPI,KOSPI,-,82100.0,-400.0,-0.48,83000.0,83800.0,81700.0,18830.0,1554127800.0,820507810500.0,9994005.0,007340,KOSPI
2024-07-23,004840,DRB동일,KOSPI,KOSPI,-,5170.0,-30.0,-0.58,5180.0,5210.0,5120.0,27923.0,143688380.0,103038100000.0,19930000.0,004840,KOSPI
2024-07-23,155660,DSR,KOSPI,KOSPI,-,4330.0,10.0,0.23,4320.0,4350.0,4300.0,3785.0,16330435.0,69280000000.0,16000000.0,155660,KOSPI
2024-07-23,069730,DSR제강,KOSPI,KOSPI,-,4345.0,65.0,1.52,4260.0,4350.0,4255.0,11833.0,50811815.0,62568000000.0,14400000.0,069730,KOSPI
2024-07-23,017860,DS단석,KOSPI,KOSPI,-,94800.0,-500.0,-0.52,95300.0,97700.0,94800.0,28266.0,2697183100.0,555661099200.0,5861404.0,017860,KOSPI
2024-07-23,017940,E1,KOSPI,KOSPI,-,74700.0,100.0,0.13,75300.0,75600.0,74100.0,8641.0,647137100.0,512442000000.0,6860000.0,017940,KOSPI
2024-07-23,365550,ESR켄달스퀘어리츠,KOSPI,KOSPI,-,4815.0,-25.0,-0.52,4830.0,4875.0,4815.0,151706.0,735303910.0,1026023535000.0,213089000.0,365550,KOSPI
2024-07-23,383220,F&F,KOSPI,KOSPI,-,62700.0,-2100.0,-3.24,64300.0,65300.0,62500.0,229006.0,14512431700.0,2401853602500.0,38307075.0,383220,KOSPI
2024-07-23,007700,F&F홀딩스,KOSPI,KOSPI,-,14610.0,-140.0,-0.95,14860.0,14860.0,14610.0,35009.0,514282120.0,571460901870.0,39114367.0,007700,KOSPI
2024-07-23,114090,GKL,KOSPI,KOSPI,-,12000.0,60.0,0.5,11910.0,12030.0,11810.0,163905.0,1950966410.0,742268040000.0,61855670.0,114090,KOSPI
2024-07-23,078930,GS,KOSPI,KOSPI,-,47350.0,-650.0,-1.35,48150.0,48850.0,47350.0,139393.0,6686004350.0,4399543148300.0,92915378.0,078930,KOSPI
2024-07-23,006360,GS건설,KOSPI,KOSPI,-,17730.0,-70.0,-0.39,17650.0,18220.0,17650.0,714399.0,12811088470.0,1517359817700.0,85581490.0,006360,KOSPI
2024-07-23,001250,GS글로벌,KOSPI,KOSPI,-,3555.0,5.0,0.14,3490.0,3725.0,3415.0,13397305.0,48223804780.0,293407531020.0,82533764.0,001250,KOSPI
2024-07-23,007070,GS리테일,KOSPI,KOSPI,-,21000.0,-100.0,-0.47,21150.0,21250.0,20950.0,129890.0,2735363050.0,2199076362000.0,104717922.0,007070,KOSPI
2024-07-23,078935,GS우,KOSPI,KOSPI,-,38900.0,-50.0,-0.13,39300.0,39500.0,38750.0,11318.0,440830000.0,69429731400.0,1784826.0,078935,KOSPI
2024-07-23,012630,HDC,KOSPI,KOSPI,-,8790.0,20.0,0.23,8810.0,8960.0,8740.0,102236.0,900909080.0,525129727590.0,59741721.0,012630,KOSPI
2024-07-23,039570,HDC랩스,KOSPI,KOSPI,-,8380.0,-210.0,-2.44,8690.0,8690.0,8360.0,30240.0,255793850.0,217524696380.0,25957601.0,039570,KOSPI
2024-07-23,089470,HDC현대EP,KOSPI,KOSPI,-,4070.0,20.0,0.49,4105.0,4105.0,4050.0,8914.0,36286360.0,129833000000.0,31900000.0,089470,KOSPI
2024-07-23,294870,HDC현대산업개발,KOSPI,KOSPI,-,20100.0,-400.0,-1.95,20150.0,21100.0,19970.0,563140.0,11430257110.0,1324737333000.0,65907330.0,294870,KOSPI
2024-07-23,009540,HD한국조선해양,KOSPI,KOSPI,-,189700.0,3100.0,1.66,186600.0,190800.0,184100.0,454688.0,85740365400.0,13425660105200.0,70773116.0,009540,KOSPI
2024-07-23,267250,HD현대,KOSPI,KOSPI,-,80500.0,1200.0,1.51,78800.0,81400.0,78500.0,184128.0,14805394600.0,6358943342500.0,78993085.0,267250,KOSPI
2024-07-23,267270,HD현대건설기계,KOSPI,KOSPI,-,67300.0,-1200.0,-1.75,65100.0,71000.0,64700.0,1201873.0,81478398600.0,1268409560800.0,18847096.0,267270,KOSPI
2024-07-23,443060,HD현대마린솔루션,KOSPI,KOSPI,-,132700.0,9700.0,7.89,124200.0,134800.0,123900.0,326240.0,42530026100.0,5898515000000.0,44450000.0,443060,KOSPI
2024-07-23,010620,HD현대미포,KOSPI,KOSPI,-,104200.0,4600.0,4.62,100900.0,104600.0,100200.0,417591.0,42837434200.0,4161971925800.0,39942149.0,010620,KOSPI
2024-07-23,322000,HD현대에너지솔루션,KOSPI,KOSPI,-,24450.0,300.0,1.24,24200.0,24700.0,23900.0,67146.0,1629964450.0,273840000000.0,11200000.0,322000,KOSPI
2024-07-23,042670,HD현대인프라코어,KOSPI,KOSPI,-,8830.0,490.0,5.88,8110.0,9160.0,8110.0,16895320.0,149144253680.0,1762498489990.0,199603453.0,042670,KOSPI
2024-07-23,267260,HD현대일렉트릭,KOSPI,KOSPI,-,346000.0,52000.0,17.69,298500.0,364000.0,298500.0,1999868.0,679916539000.0,12472308710000.0,36047135.0,267260,KOSPI
2024-07-23,329180,HD현대중공업,KOSPI,KOSPI,-,174900.0,4500.0,2.64,171700.0,176000.0,170400.0,238862.0,41300671200.0,15526417988400.0,88773116.0,329180,KOSPI
2024-07-23,097230,HJ중공업,KOSPI,KOSPI,-,3540.0,-5.0,-0.14,3590.0,3775.0,3500.0,1125134.0,4080027505.0,294790954740.0,83274281.0,097230,KOSPI
2024-07-23,014790,HL D&I,KOSPI,KOSPI,-,2575.0,-15.0,-0.58,2590.0,2620.0,2515.0,184394.0,473486675.0,97485897575.0,37858601.0,014790,KOSPI
2024-07-23,003580,HLB글로벌,KOSPI,KOSPI,-,5830.0,80.0,1.39,5800.0,6200.0,5800.0,370378.0,2206686890.0,276405500360.0,47410892.0,003580,KOSPI
2024-07-23,204320,HL만도,KOSPI,KOSPI,-,41900.0,1100.0,2.7,40900.0,42500.0,40900.0,271637.0,11398832850.0,1967503328000.0,46957120.0,204320,KOSPI
2024-07-23,060980,HL홀딩스,KOSPI,KOSPI,-,33350.0,-100.0,-0.3,33550.0,33800.0,33250.0,7672.0,256162000.0,339149823500.0,10169410.0,060980,KOSPI
2024-07-23,011200,HMM,KOSPI,KOSPI,-,16900.0,-130.0,-0.76,17170.0,17300.0,16900.0,1208833.0,20573292630.0,12658767482400.0,749039496.0,011200,KOSPI
2024-07-23,035000,HS애드,KOSPI,KOSPI,-,6310.0,-10.0,-0.16,6380.0,6380.0,6290.0,16008.0,101172480.0,104540350790.0,16567409.0,035000,KOSPI
2024-07-23,002460,HS화성,KOSPI,KOSPI,-,9150.0,-50.0,-0.54,9120.0,9290.0,9120.0,2464.0,22529640.0,92872500000.0,10150000.0,002460,KOSPI
2024-07-23,003560,IHQ,KOSPI,KOSPI,-,10760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59719334240.0,5550124.0,003560,KOSPI
2024-07-23,175330,JB금융지주,KOSPI,KOSPI,-,14930.0,-30.0,-0.2,14890.0,15150.0,14800.0,381273.0,5718196870.0,2912592146140.0,195083198.0,175330,KOSPI
2024-07-23,234080,JW생명과학,KOSPI,KOSPI,-,11860.0,20.0,0.17,11850.0,11950.0,11800.0,7675.0,90968830.0,187797810440.0,15834554.0,234080,KOSPI
2024-07-23,001060,JW중외제약,KOSPI,KOSPI,-,32200.0,250.0,0.78,32150.0,32600.0,31800.0,84586.0,2716665550.0,749806946000.0,23285930.0,001060,KOSPI
2024-07-23,001067,JW중외제약2우B,KOSPI,KOSPI,-,57500.0,0.0,0.0,57500.0,57500.0,57500.0,1.0,57500.0,12073447500.0,209973.0,001067,KOSPI
2024-07-23,001065,JW중외제약우,KOSPI,KOSPI,-,30950.0,1000.0,3.34,29950.0,30950.0,29900.0,71.0,2174000.0,10583383450.0,341951.0,001065,KOSPI
2024-07-23,096760,JW홀딩스,KOSPI,KOSPI,-,3300.0,5.0,0.15,3300.0,3325.0,3280.0,23893.0,78589830.0,243952308600.0,73924942.0,096760,KOSPI
2024-07-23,105560,KB금융,KOSPI,KOSPI,-,88300.0,1800.0,2.08,87200.0,89600.0,86200.0,1398881.0,122886109400.0,35630027657600.0,403511072.0,105560,KOSPI
2024-07-23,432320,KB스타리츠,KOSPI,KOSPI,-,4510.0,-55.0,-1.2,4565.0,4575.0,4490.0,142824.0,645517150.0,457378425350.0,101414285.0,432320,KOSPI
2024-07-23,002380,KCC,KOSPI,KOSPI,-,315500.0,-1000.0,-0.32,318500.0,325500.0,313500.0,16461.0,5220665500.0,2803681600500.0,8886471.0,002380,KOSPI
2024-07-23,344820,KCC글라스,KOSPI,KOSPI,-,41650.0,-750.0,-1.77,42250.0,42400.0,41550.0,22801.0,953098400.0,665171824800.0,15970512.0,344820,KOSPI
2024-07-23,009070,KCTC,KOSPI,KOSPI,-,4010.0,-5.0,-0.12,4060.0,4090.0,3990.0,23464.0,94287755.0,120300000000.0,30000000.0,009070,KOSPI
2024-07-23,009440,KC그린홀딩스,KOSPI,KOSPI,-,1645.0,-57.0,-3.35,1647.0,1697.0,1640.0,111408.0,184037829.0,36905542100.0,22434980.0,009440,KOSPI
2024-07-23,119650,KC코트렐,KOSPI,KOSPI,-,1019.0,21.0,2.1,998.0,1020.0,993.0,189098.0,190061829.0,64879003453.0,63669287.0,119650,KOSPI
2024-07-23,092220,KEC,KOSPI,KOSPI,-,1201.0,-1.0,-0.08,1203.0,1222.0,1199.0,699728.0,842933095.0,241116532341.0,200763141.0,092220,KOSPI
2024-07-23,003620,KG모빌리티,KOSPI,KOSPI,-,6080.0,-100.0,-1.62,6120.0,6340.0,6050.0,1021920.0,6337554320.0,1187138513600.0,195253045.0,003620,KOSPI
2024-07-23,016380,KG스틸,KOSPI,KOSPI,-,6410.0,-150.0,-2.29,6520.0,6650.0,6390.0,206046.0,1334521760.0,641057029770.0,100008897.0,016380,KOSPI
2024-07-23,001390,KG케미칼,KOSPI,KOSPI,-,4780.0,-50.0,-1.04,4835.0,4865.0,4775.0,182937.0,880328880.0,327282011200.0,68469040.0,001390,KOSPI
2024-07-23,033180,KH 필룩스,KOSPI,KOSPI,-,6630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125330728770.0,18903579.0,033180,KOSPI
2024-07-23,015590,KIB플러그에너지,KOSPI,KOSPI,-,600.0,4.0,0.67,599.0,611.0,588.0,1941607.0,1165386569.0,142188926400.0,236981544.0,015590,KOSPI
2024-07-23,001940,KISCO홀딩스,KOSPI,KOSPI,-,19030.0,20.0,0.11,19010.0,19190.0,18800.0,8672.0,164238300.0,307836511400.0,16176380.0,001940,KOSPI
2024-07-23,025000,KPX케미칼,KOSPI,KOSPI,-,47450.0,-50.0,-0.11,47550.0,47950.0,46950.0,7256.0,342839200.0,229658000000.0,4840000.0,025000,KOSPI
2024-07-23,092230,KPX홀딩스,KOSPI,KOSPI,-,56500.0,-500.0,-0.88,57000.0,57000.0,56500.0,670.0,38018500.0,238692499000.0,4224646.0,092230,KOSPI
2024-07-23,000040,KR모터스,KOSPI,KOSPI,-,621.0,-11.0,-1.74,629.0,638.0,618.0,200842.0,125364174.0,37342511028.0,60132868.0,000040,KOSPI
2024-07-23,044450,KSS해운,KOSPI,KOSPI,-,8190.0,0.0,0.0,8250.0,8260.0,8120.0,39235.0,322026900.0,189073357200.0,23085880.0,044450,KOSPI
2024-07-23,030200,KT,KOSPI,KOSPI,-,37900.0,400.0,1.07,37650.0,38100.0,37650.0,349862.0,13242450600.0,9551621861500.0,252021685.0,030200,KOSPI
2024-07-23,033780,KT&G,KOSPI,KOSPI,-,93400.0,500.0,0.54,92100.0,93500.0,91700.0,364168.0,33844138500.0,12172121219800.0,130322497.0,033780,KOSPI
2024-07-23,058850,KTcs,KOSPI,KOSPI,-,3160.0,-30.0,-0.94,3180.0,3210.0,3160.0,195494.0,620792430.0,134884600000.0,42685000.0,058850,KOSPI
2024-07-23,058860,KTis,KOSPI,KOSPI,-,2635.0,-10.0,-0.38,2645.0,2650.0,2610.0,81840.0,215732770.0,91703270000.0,34802000.0,058860,KOSPI
2024-07-23,093050,LF,KOSPI,KOSPI,-,14000.0,90.0,0.65,13990.0,14000.0,13840.0,30892.0,429555710.0,409360000000.0,29240000.0,093050,KOSPI
2024-07-23,003550,LG,KOSPI,KOSPI,-,80900.0,-200.0,-0.25,81100.0,81500.0,80500.0,70500.0,5700188900.0,12725650333700.0,157300993.0,003550,KOSPI
2024-07-23,034220,LG디스플레이,KOSPI,KOSPI,-,12550.0,170.0,1.37,12450.0,12650.0,12200.0,1687204.0,21001772330.0,6275000000000.0,500000000.0,034220,KOSPI
2024-07-23,051900,LG생활건강,KOSPI,KOSPI,-,339500.0,-7000.0,-2.02,346500.0,351500.0,338500.0,49022.0,16747494000.0,5302377881500.0,15618197.0,051900,KOSPI
2024-07-23,051905,LG생활건강우,KOSPI,KOSPI,-,152500.0,-1900.0,-1.23,152500.0,156000.0,151300.0,3719.0,568543400.0,320203792500.0,2099697.0,051905,KOSPI
2024-07-23,373220,LG에너지솔루션,KOSPI,KOSPI,-,326000.0,-2500.0,-0.76,330500.0,333500.0,324000.0,152694.0,50018796500.0,76284000000000.0,234000000.0,373220,KOSPI
2024-07-23,003555,LG우,KOSPI,KOSPI,-,60000.0,-100.0,-0.17,60300.0,60300.0,59800.0,3643.0,218371300.0,181297200000.0,3021620.0,003555,KOSPI
2024-07-23,032640,LG유플러스,KOSPI,KOSPI,-,9960.0,-40.0,-0.4,10000.0,10000.0,9950.0,491540.0,4904906940.0,4348649155560.0,436611361.0,032640,KOSPI
2024-07-23,011070,LG이노텍,KOSPI,KOSPI,-,280500.0,-4000.0,-1.41,287000.0,290000.0,278000.0,129573.0,36509877500.0,6638623513500.0,23667107.0,011070,KOSPI
2024-07-23,066570,LG전자,KOSPI,KOSPI,-,113900.0,2900.0,2.61,111700.0,114600.0,111700.0,986056.0,111914349300.0,18639486014600.0,163647814.0,066570,KOSPI
2024-07-23,066575,LG전자우,KOSPI,KOSPI,-,50200.0,950.0,1.93,49300.0,50500.0,49300.0,64933.0,3246864650.0,862736798400.0,17185992.0,066575,KOSPI
2024-07-23,037560,LG헬로비전,KOSPI,KOSPI,-,2865.0,0.0,0.0,2855.0,2885.0,2850.0,61415.0,175605350.0,221885268225.0,77446865.0,037560,KOSPI
2024-07-23,051910,LG화학,KOSPI,KOSPI,-,312500.0,-7500.0,-2.34,323000.0,324500.0,311500.0,365796.0,115179288984.0,22060107187500.0,70592343.0,051910,KOSPI
2024-07-23,051915,LG화학우,KOSPI,KOSPI,-,219500.0,-4500.0,-2.01,224500.0,227000.0,218500.0,21076.0,4644212000.0,1687691600000.0,7688800.0,051915,KOSPI
2024-07-23,079550,LIG넥스원,KOSPI,KOSPI,-,228500.0,2500.0,1.11,226000.0,237500.0,224000.0,506029.0,116986933500.0,5027000000000.0,22000000.0,079550,KOSPI
2024-07-23,006260,LS,KOSPI,KOSPI,-,130500.0,4200.0,3.33,127500.0,133100.0,122700.0,790566.0,101672528200.0,4202100000000.0,32200000.0,006260,KOSPI
2024-07-23,010120,LS ELECTRIC,KOSPI,KOSPI,-,259000.0,40000.0,18.26,222500.0,261000.0,216500.0,2123508.0,514693308500.0,7770000000000.0,30000000.0,010120,KOSPI
2024-07-23,000680,LS네트웍스,KOSPI,KOSPI,-,4120.0,100.0,2.49,4015.0,4160.0,4015.0,190042.0,773005780.0,324668425920.0,78803016.0,000680,KOSPI
2024-07-23,229640,LS에코에너지,KOSPI,KOSPI,-,31400.0,800.0,2.61,30900.0,31600.0,29950.0,586079.0,18073024650.0,961621200600.0,30624879.0,229640,KOSPI
2024-07-23,108320,LX세미콘,KOSPI,KOSPI,-,73600.0,500.0,0.68,74000.0,74900.0,72700.0,61718.0,4548712200.0,1197052480000.0,16264300.0,108320,KOSPI
2024-07-23,001120,LX인터내셔널,KOSPI,KOSPI,-,30200.0,-400.0,-1.31,30450.0,30900.0,30050.0,174168.0,5296617650.0,1170552000000.0,38760000.0,001120,KOSPI
2024-07-23,108670,LX하우시스,KOSPI,KOSPI,-,45650.0,600.0,1.33,45400.0,46100.0,44700.0,24297.0,1101663550.0,409374135500.0,8967670.0,108670,KOSPI
2024-07-23,108675,LX하우시스우,KOSPI,KOSPI,-,24750.0,200.0,0.81,24800.0,24800.0,24450.0,1107.0,27247600.0,25550167500.0,1032330.0,108675,KOSPI
2024-07-23,383800,LX홀딩스,KOSPI,KOSPI,-,6930.0,0.0,0.0,6930.0,6960.0,6920.0,79171.0,548733460.0,528625181700.0,76280690.0,383800,KOSPI
2024-07-23,38380K,LX홀딩스1우,KOSPI,KOSPI,-,8950.0,10.0,0.11,8950.0,8970.0,8800.0,345.0,3075170.0,13114300750.0,1465285.0,38380K,KOSPI
2024-07-23,023150,MH에탄올,KOSPI,KOSPI,-,5830.0,160.0,2.82,5720.0,5860.0,5670.0,6667.0,38163140.0,43016806580.0,7378526.0,023150,KOSPI
