종목명,현재가,전일비,등락률,거래량,거래대금,market,code
삼성전자,"99,300","상승2,600",+2.69%,"16,110,054",,KOSPI,005930
SK하이닉스,"519,000","하락1,000",-0.19%,"3,468,064",,KOSPI,000660
LG에너지솔루션,"413,500","상승1,500",+0.36%,"240,842",,KOSPI,373220
삼성바이오로직스,"1,627,000","하락162,000",-9.06%,"224,828",,KOSPI,207940
삼성전자우,"74,900","상승2,300",+3.17%,"2,490,530",,KOSPI,005935
현대차,"257,500",보합0,0.00%,"388,687",,KOSPI,005380
HD현대중공업,"548,000","하락4,000",-0.72%,"187,975",,KOSPI,329180
두산에너빌리티,"73,500","상승1,000",+1.38%,"2,759,653",,KOSPI,034020
KB금융,"121,700","상승1,400",+1.16%,"854,744",,KOSPI,105560
한화에어로스페이스,"859,000","상승4,000",+0.47%,"121,366",,KOSPI,012450
기아,"111,200",상승100,+0.09%,"632,037",,KOSPI,000270
셀트리온,"182,500",상승400,+0.22%,"466,065",,KOSPI,068270
NAVER,"253,000","하락8,000",-3.07%,"1,218,659",,KOSPI,035420
삼성물산,"228,500","상승10,500",+4.82%,"468,197",,KOSPI,028260
SK스퀘어,"290,500","상승14,500",+5.25%,"684,902",,KOSPI,402340
신한지주,"77,500","상승1,200",+1.57%,"956,374",,KOSPI,055550
한화오션,"113,000","하락5,800",-4.88%,"1,722,922",,KOSPI,042660
한국전력,"51,500","상승3,300",+6.85%,"9,181,118",,KOSPI,015760
HD한국조선해양,"420,000","하락14,000",-3.23%,"197,185",,KOSPI,009540
삼성생명,"146,700","상승1,900",+1.31%,"191,417",,KOSPI,032830
HD현대일렉트릭,"780,000","상승30,000",+4.00%,"148,760",,KOSPI,267260
현대모비스,"293,500",보합0,0.00%,"104,305",,KOSPI,012330
카카오,"58,000",하락800,-1.36%,"1,898,070",,KOSPI,035720
LG화학,"363,000","상승4,500",+1.26%,"251,051",,KOSPI,051910
하나금융지주,"90,800","상승1,300",+1.45%,"655,231",,KOSPI,086790
POSCO홀딩스,"301,000","하락1,500",-0.50%,"167,675",,KOSPI,005490
삼성SDI,"284,500","상승3,500",+1.25%,"265,462",,KOSPI,006400
고려아연,"1,138,000","상승60,000",+5.57%,"31,685",,KOSPI,010130
삼성중공업,"24,800",하락250,-1.00%,"2,791,063",,KOSPI,010140
삼성화재,"473,000",보합0,0.00%,"49,760",,KOSPI,000810
현대로템,"177,200","상승2,200",+1.26%,"616,585",,KOSPI,064350
우리금융지주,"25,750",하락50,-0.19%,"1,219,820",,KOSPI,316140
메리츠금융지주,"107,500",하락200,-0.19%,"190,512",,KOSPI,138040
SK이노베이션,"111,000",하락300,-0.27%,"170,364",,KOSPI,096770
효성중공업,"1,940,000","상승37,000",+1.94%,"52,981",,KOSPI,298040
SK,"249,000",하락500,-0.20%,"158,349",,KOSPI,034730
삼성전기,"241,500","상승15,500",+6.86%,"1,028,743",,KOSPI,009150
HMM,"18,710",상승50,+0.27%,"699,300",,KOSPI,011200
포스코퓨처엠,"187,100",상승300,+0.16%,"209,557",,KOSPI,003670
KT&G,"140,200","하락6,300",-4.30%,"321,928",,KOSPI,033780
기업은행,"20,150",상승50,+0.25%,"836,061",,KOSPI,024110
HD현대,"202,500","상승2,000",+1.00%,"143,048",,KOSPI,267250
LG전자,"85,200","상승1,200",+1.43%,"485,683",,KOSPI,066570
두산,"830,000","하락24,000",-2.81%,"265,647",,KOSPI,000150
LS ELECTRIC,"440,000","상승4,000",+0.92%,"170,664",,KOSPI,010120
삼성에스디에스,"167,800","상승1,000",+0.60%,"100,784",,KOSPI,018260
KT,"49,850",하락250,-0.50%,"191,970",,KOSPI,030200
LG,"78,400",상승700,+0.90%,"216,481",,KOSPI,003550
크래프톤,"255,000",보합0,0.00%,"65,335",,KOSPI,259960
현대글로비스,"160,000","상승1,600",+1.01%,"82,121",,KOSPI,086280
미래에셋증권,"21,000",하락200,-0.94%,"2,888,634",,KOSPI,006800
하이브,"280,500","하락9,500",-3.28%,"290,393",,KOSPI,352820
TIGER 미국S&P500,"24,490",상승165,+0.68%,"3,149,034",,KOSPI,360750
SK텔레콤,"53,500",하락600,-1.11%,"741,627",,KOSPI,017670
한미반도체,"120,100",상승500,+0.42%,"986,673",,KOSPI,042700
한국항공우주,"108,600","상승4,700",+4.52%,"1,042,499",,KOSPI,047810
KODEX 200,"54,605",상승395,+0.73%,"11,224,001",,KOSPI,069500
이수페타시스,"140,700","상승15,600",+12.47%,"4,335,132",,KOSPI,007660
SK바이오팜,"129,000",상승700,+0.55%,"324,435",,KOSPI,326030
카카오뱅크,"21,150",하락450,-2.08%,"702,246",,KOSPI,323410
삼양식품,"1,311,000","하락44,000",-3.25%,"41,596",,KOSPI,003230
에이피알,"250,500","상승3,000",+1.21%,"474,423",,KOSPI,278470
포스코인터내셔널,"52,100",상승900,+1.76%,"254,786",,KOSPI,047050
유한양행,"114,500",하락700,-0.61%,"266,686",,KOSPI,000100
S-Oil,"80,400","하락1,100",-1.35%,"436,537",,KOSPI,010950
HD현대미포,"219,500","하락2,000",-0.90%,"162,424",,KOSPI,010620
한화시스템,"46,200","하락1,200",-2.53%,"1,330,052",,KOSPI,272210
KODEX CD금리액티브(합성),"1,075,320",상승75,+0.01%,"241,856",,KOSPI,459580
한국금융지주,"154,600","하락1,600",-1.02%,"170,964",,KOSPI,071050
KODEX 머니마켓액티브,"104,275",상승15,+0.01%,"629,485",,KOSPI,488770
DB손해보험,"119,900",하락500,-0.42%,"153,662",,KOSPI,005830
LIG넥스원,"384,500","하락9,500",-2.41%,"127,289",,KOSPI,079550
HD현대마린솔루션,"187,800","하락19,700",-9.49%,"236,662",,KOSPI,443060
삼성에피스홀딩스,"335,500","하락103,000",-23.49%,"1,663,011",,KOSPI,0126Z0
대한항공,"21,100",상승100,+0.48%,"605,883",,KOSPI,003490
아모레퍼시픽,"126,400","하락4,500",-3.44%,"249,048",,KOSPI,090430
NH투자증권,"20,550",보합0,0.00%,"508,225",,KOSPI,005940
한국타이어앤테크놀로지,"58,400",상승600,+1.04%,"258,668",,KOSPI,161390
키움증권,"269,000","상승2,000",+0.75%,"69,788",,KOSPI,039490
삼성증권,"77,600","하락1,700",-2.14%,"258,089",,KOSPI,016360
TIGER 미국나스닥100,"162,220","상승2,370",+1.48%,"367,159",,KOSPI,133690
현대차2우B,"195,400","상승3,100",+1.61%,"102,238",,KOSPI,005387
현대건설,"60,800","상승1,100",+1.84%,"732,480",,KOSPI,000720
한진칼,"100,100","하락8,800",-8.08%,"89,904",,KOSPI,180640
카카오페이,"49,400",하락600,-1.20%,"375,555",,KOSPI,377300
LG유플러스,"15,200",하락730,-4.58%,"940,266",,KOSPI,032640
KODEX 미국S&P500,"22,435",상승145,+0.65%,"3,229,114",,KOSPI,379800
코웨이,"89,000","상승3,300",+3.85%,"213,187",,KOSPI,021240
삼성카드,"54,000",상승500,+0.93%,"81,468",,KOSPI,029780
LG디스플레이,"12,230",상승10,+0.08%,"1,202,464",,KOSPI,034220
한화,"77,700","하락1,000",-1.27%,"164,248",,KOSPI,000880
한미약품,"444,500","하락1,500",-0.34%,"72,199",,KOSPI,128940
LS,"177,400","하락1,800",-1.00%,"140,328",,KOSPI,006260
LG이노텍,"236,000","상승4,000",+1.72%,"135,188",,KOSPI,011070
LG씨엔에스,"56,700",상승500,+0.89%,"354,627",,KOSPI,064400
맥쿼리인프라,"11,440",하락100,-0.87%,"1,175,825",,KOSPI,088980
GS,"57,500","하락2,100",-3.52%,"320,394",,KOSPI,078930
두산밥캣,"55,000","하락2,300",-4.01%,"207,572",,KOSPI,241560
TIGER CD금리투자KIS(합성),"56,810",상승5,+0.01%,"140,757",,KOSPI,357870
CJ,"174,500","하락8,300",-4.54%,"174,585",,KOSPI,001040
현대오토에버,"183,900",하락200,-0.11%,"55,375",,KOSPI,307950
삼성E&A,"25,100",하락250,-0.99%,"505,292",,KOSPI,028050
한화솔루션,"27,450","상승1,000",+3.78%,"764,473",,KOSPI,009830
BNK금융지주,"14,830",상승20,+0.14%,"636,743",,KOSPI,138930
현대차우,"193,300","상승3,100",+1.63%,"68,007",,KOSPI,005385
JB금융지주,"23,750",상승650,+2.81%,"434,949",,KOSPI,175330
두산로보틱스,"69,300","하락1,100",-1.56%,"145,241",,KOSPI,454910
엘앤에프,"113,600","상승2,100",+1.88%,"306,675",,KOSPI,066970
엔씨소프트,"208,000","상승5,500",+2.72%,"224,123",,KOSPI,036570
넷마블,"51,700",상승100,+0.19%,"129,919",,KOSPI,251270
LG생활건강,"282,500","하락6,500",-2.25%,"56,782",,KOSPI,051900
KODEX KOFR금리액티브(합성),"110,830",보합0,0.00%,"29,984",,KOSPI,423160
KODEX 미국나스닥100,"24,335",상승355,+1.48%,"3,434,146",,KOSPI,379810
TIGER 미국테크TOP10 INDXX,"31,170",상승665,+2.18%,"1,566,399",,KOSPI,381170
TIGER 200,"54,640",상승385,+0.71%,"3,038,274",,KOSPI,102110
산일전기,"133,900",하락300,-0.22%,"183,484",,KOSPI,062040
대한전선,"21,850",상승50,+0.23%,"2,784,859",,KOSPI,001440
오리온,"102,700",상승400,+0.39%,"200,795",,KOSPI,271560
SKC,"106,900",상승600,+0.56%,"132,339",,KOSPI,011790
SK바이오사이언스,"50,400",하락800,-1.56%,"123,952",,KOSPI,302440
영원무역,"89,000",상승400,+0.45%,"96,279",,KOSPI,111770
현대제철,"29,300",상승200,+0.69%,"344,455",,KOSPI,004020
강원랜드,"17,530",하락390,-2.18%,"387,723",,KOSPI,035250
한국가스공사,"40,300",상승400,+1.00%,"168,557",,KOSPI,036460
에코프로머티,"53,100",하락500,-0.93%,"138,261",,KOSPI,450080
KCC,"408,000","상승6,500",+1.62%,"29,412",,KOSPI,002380
포스코DX,"23,600",하락200,-0.84%,"351,395",,KOSPI,022100
KODEX 200TR,"19,605",상승130,+0.67%,"673,346",,KOSPI,278530
한화엔진,"42,150",하락700,-1.63%,"626,273",,KOSPI,082740
KODEX 종합채권(AA-이상)액티브,"116,510",상승215,+0.18%,"25,160",,KOSPI,273130
한전기술,"89,100","상승1,800",+2.06%,"99,899",,KOSPI,052690
서울보증보험,"48,450",하락100,-0.21%,"43,862",,KOSPI,031210
TIGER 머니마켓액티브,"101,690",상승10,+0.01%,"105,452",,KOSPI,0043B0
롯데케미칼,"74,500",보합0,0.00%,"74,229",,KOSPI,011170
현대엘리베이터,"81,500","상승1,900",+2.39%,"278,828",,KOSPI,017800
ACE KRX금현물,"27,630",상승535,+1.97%,"2,324,818",,KOSPI,411060
CJ제일제당,"209,500","하락5,000",-2.33%,"87,838",,KOSPI,097950
롯데지주,"29,550",하락650,-2.15%,"234,466",,KOSPI,004990
KODEX 레버리지,"38,700",상승465,+1.22%,"32,426,940",,KOSPI,122630
TIGER 미국필라델피아반도체나스닥,"25,825",상승735,+2.93%,"1,138,509",,KOSPI,381180
금호석유화학,"113,600",상승200,+0.18%,"36,344",,KOSPI,011780
에스원,"74,400",상승300,+0.40%,"26,076",,KOSPI,012750
ACE 미국S&P500,"24,750",상승165,+0.67%,"834,645",,KOSPI,360200
더존비즈온,"92,200",상승200,+0.22%,"118,294",,KOSPI,012510
F&F,"71,600","하락1,300",-1.78%,"111,499",,KOSPI,383220
동서,"27,350",하락750,-2.67%,"68,822",,KOSPI,026960
RISE 머니마켓액티브,"54,910",상승5,+0.01%,"288,508",,KOSPI,455890
HD현대인프라코어,"14,380",하락190,-1.30%,"1,832,436",,KOSPI,042670
HD현대마린엔진,"79,600","하락1,100",-1.36%,"122,602",,KOSPI,071970
DB하이텍,"61,900","상승1,100",+1.81%,"263,573",,KOSPI,000990
농심,"441,500","하락12,500",-2.75%,"32,510",,KOSPI,004370
풍산,"94,300",상승400,+0.43%,"80,337",,KOSPI,103140
TIGER KOFR금리액티브(합성),"110,260",상승5,0.00%,"46,140",,KOSPI,449170
한솔케미칼,"231,000","상승21,000",+10.00%,"110,389",,KOSPI,014680
대덕전자,"52,900","상승4,550",+9.41%,"2,566,234",,KOSPI,353200
제일기획,"22,500",보합0,0.00%,"236,158",,KOSPI,030000
현대해상,"28,900","상승1,150",+4.14%,"457,399",,KOSPI,001450
KODEX CD1년금리플러스액티브(합성),"1,023,480",상승60,+0.01%,"16,894",,KOSPI,481050
한미사이언스,"37,450",하락150,-0.40%,"86,554",,KOSPI,008930
한화생명,"2,940",하락10,-0.34%,"1,354,754",,KOSPI,088350
일진전기,"53,300",하락200,-0.37%,"335,617",,KOSPI,103590
한국앤컴퍼니,"26,500",상승50,+0.19%,"59,618",,KOSPI,000240
미스토홀딩스,"41,650",상승100,+0.24%,"80,051",,KOSPI,081660
한온시스템,"3,530",하락50,-1.40%,"1,886,057",,KOSPI,018880
대한조선,"61,700","하락1,600",-2.53%,"355,885",,KOSPI,439260
한전KPS,"51,800",상승400,+0.78%,"118,152",,KOSPI,051600
ACE 미국나스닥100,"27,885",상승400,+1.46%,"1,491,392",,KOSPI,367380
영원무역홀딩스,"172,100","하락1,400",-0.81%,"16,644",,KOSPI,009970
iM금융지주,"14,220",상승150,+1.07%,"292,430",,KOSPI,139130
신영증권,"139,900","하락4,200",-2.91%,"31,471",,KOSPI,001720
아모레퍼시픽홀딩스,"28,700","하락1,000",-3.37%,"177,330",,KOSPI,002790
ACE 미국30년국채액티브(H),"7,885",상승35,+0.45%,"1,653,619",,KOSPI,453850
SK가스,"243,500","하락3,000",-1.22%,"8,762",,KOSPI,018670
한화비전,"44,400","하락1,250",-2.74%,"372,907",,KOSPI,489790
롯데에너지머티리얼즈,"42,750","상승1,750",+4.27%,"1,429,639",,KOSPI,020150
한올바이오파마,"42,650","하락1,800",-4.05%,"426,092",,KOSPI,009420
TIGER 미국배당다우존스,"12,620",하락70,-0.55%,"955,964",,KOSPI,458730
이마트,"79,000","상승1,400",+1.80%,"131,762",,KOSPI,139480
SK아이이테크놀로지,"26,650",하락200,-0.74%,"115,774",,KOSPI,361610
코리안리,"11,180",상승100,+0.90%,"185,799",,KOSPI,003690
효성,"129,400","상승4,800",+3.85%,"36,895",,KOSPI,004800
시프트업,"36,200",하락550,-1.50%,"35,109",,KOSPI,462870
CJ대한통운,"92,700",하락300,-0.32%,"31,129",,KOSPI,000120
RISE 200,"55,035",상승410,+0.75%,"1,891,593",,KOSPI,148020
두산우,"517,000","하락22,000",-4.08%,"35,628",,KOSPI,000155
TIGER MSCI Korea TR,"23,490",상승90,+0.38%,"11,688",,KOSPI,310970
현대백화점,"89,300","하락3,100",-3.35%,"59,492",,KOSPI,069960
신세계,"209,000","하락7,000",-3.24%,"54,980",,KOSPI,004170
롯데쇼핑,"71,100",하락500,-0.70%,"51,215",,KOSPI,023530
두산퓨얼셀,"30,350",상승800,+2.71%,"809,961",,KOSPI,336260
팬오션,"3,670",상승5,+0.14%,"626,579",,KOSPI,028670
HL만도,"41,400",보합0,0.00%,"426,152",,KOSPI,204320
동원산업,"43,850","하락1,150",-2.56%,"51,666",,KOSPI,006040
대웅제약,"165,400","하락1,900",-1.14%,"30,892",,KOSPI,069620
BGF리테일,"110,400",상승200,+0.18%,"43,136",,KOSPI,282330
KODEX 단기채권PLUS,"114,810",하락5,0.00%,"33,174",,KOSPI,214980
SOL 조선TOP3플러스,"33,235",하락665,-1.96%,"1,780,143",,KOSPI,466920
OCI홀딩스,"99,800",하락600,-0.60%,"69,666",,KOSPI,010060
GS리테일,"21,900",보합0,0.00%,"133,480",,KOSPI,007070
코스맥스,"161,200","하락4,400",-2.66%,"57,156",,KOSPI,192820
HJ중공업,"20,250",하락300,-1.46%,"947,745",,KOSPI,097230
호텔신라,"45,750","하락2,250",-4.69%,"324,289",,KOSPI,008770
KODEX 삼성그룹,"12,830",상승85,+0.67%,"624,788",,KOSPI,102780
TIGER 반도체TOP10,"17,335",상승405,+2.39%,"4,368,774",,KOSPI,396500
PLUS 고배당주,"20,535",하락25,-0.12%,"1,038,032",,KOSPI,161510
에스엘,"37,150",상승700,+1.92%,"196,248",,KOSPI,005850
KODEX 200선물인버스2X,776,하락8,-1.02%,"1,006,582,780",,KOSPI,252670
아시아나항공,"8,200",하락30,-0.36%,"56,510",,KOSPI,020560
씨에스윈드,"40,050","상승1,000",+2.56%,"140,355",,KOSPI,112610
RISE 종합채권(A-이상)액티브,"108,335",상승165,+0.15%,733,,KOSPI,385540
롯데관광개발,"20,700","하락1,250",-5.69%,"1,607,263",,KOSPI,032350
TIGER 차이나전기차SOLACTIVE,"12,395",보합0,0.00%,"927,504",,KOSPI,371460
달바글로벌,"130,700",상승600,+0.46%,"99,082",,KOSPI,483650
HD현대건설기계,"92,700","하락2,800",-2.93%,"169,092",,KOSPI,267270
다우기술,"35,800",보합0,0.00%,"50,122",,KOSPI,023590
GS건설,"18,540",하락90,-0.48%,"297,163",,KOSPI,006360
미래에셋생명,"8,960",상승120,+1.36%,"100,975",,KOSPI,085620
SK리츠,"5,220",하락110,-2.06%,"554,562",,KOSPI,395400
파라다이스,"16,730",하락570,-3.29%,"1,519,100",,KOSPI,034230
한국콜마,"65,300","하락1,400",-2.10%,"151,464",,KOSPI,161890
오뚜기,"384,000","하락3,500",-0.90%,"5,876",,KOSPI,007310
금호타이어,"5,350",상승50,+0.94%,"464,162",,KOSPI,073240
현대위아,"56,500","하락1,200",-2.08%,"91,172",,KOSPI,011210
녹십자,"129,700",하락800,-0.61%,"32,806",,KOSPI,006280
DL이앤씨,"39,150",상승450,+1.16%,"165,910",,KOSPI,375500
KODEX 200타겟위클리커버드콜,"12,750",상승65,+0.51%,"2,924,307",,KOSPI,498400
이수스페셜티케미컬,"49,000",하락550,-1.11%,"113,413",,KOSPI,457190
KODEX 2차전지산업,"14,365",상승60,+0.42%,"2,085,989",,KOSPI,305720
KODEX 코스닥150레버리지,"10,565",하락85,-0.80%,"24,968,464",,KOSPI,233740
코스모신소재,"44,200",하락500,-1.12%,"223,566",,KOSPI,005070
대우건설,"3,430",하락10,-0.29%,"786,523",,KOSPI,047040
KODEX 미국AI전력핵심인프라,"17,485",상승675,+4.02%,"1,343,070",,KOSPI,487230
KODEX 반도체,"53,735",상승865,+1.64%,"1,540,766",,KOSPI,091160
LG화학우,"183,400","상승2,500",+1.38%,"21,820",,KOSPI,051915
SNT다이내믹스,"42,000",상승650,+1.57%,"58,777",,KOSPI,003570
한국카본,"26,600",하락600,-2.21%,"377,028",,KOSPI,017960
DN오토모티브,"23,450",하락400,-1.68%,"62,012",,KOSPI,007340
TIGER 미국30년국채커버드콜액티브(H),"7,970",상승25,+0.31%,"1,028,944",,KOSPI,476550
대신증권,"26,100",하락400,-1.51%,"179,778",,KOSPI,003540
RISE 미국S&P500,"21,400",상승140,+0.66%,"212,315",,KOSPI,379780
미래에셋증권2우B,"9,600",하락290,-2.93%,"386,593",,KOSPI,00680K
RISE CD금리액티브(합성),"105,215",상승10,+0.01%,"4,049",,KOSPI,477080
대웅,"22,600",하락300,-1.31%,"80,786",,KOSPI,003090
TIGER TOP10,"18,250",상승120,+0.66%,"834,367",,KOSPI,292150
하이트진로,"18,580",하락170,-0.91%,"218,332",,KOSPI,000080
메리츠 KIS CD금리투자 ETN,"54,560",상승10,+0.02%,1,,KOSPI,610063
HDC현대산업개발,"19,450",하락360,-1.82%,"231,662",,KOSPI,294870
한일시멘트,"17,360",하락470,-2.64%,"76,102",,KOSPI,300720
