code,name,abbr,name_eng,isin,market,market_type,security_group,sector_name,stock_kind,par_value,listed_shares,list_date,isu_cd,short_code,source_market
095570,AJ네트웍스보통주,AJ네트웍스,"AJ Networks Co.,Ltd.",KR7095570008,KOSPI,KOSPI,주권,-,보통주,1000.0,45252759,2015-08-21,KR7095570008,095570,KOSPI
006840,AK홀딩스보통주,AK홀딩스,"AK Holdings, Inc.",KR7006840003,KOSPI,KOSPI,주권,-,보통주,5000.0,13247561,1999-08-11,KR7006840003,006840,KOSPI
282330,BGF리테일보통주,BGF리테일,BGF Retail,KR7282330000,KOSPI,KOSPI,주권,-,보통주,1000.0,17283906,2017-12-08,KR7282330000,282330,KOSPI
027410,BGF보통주,BGF,BGF,KR7027410000,KOSPI,KOSPI,주권,-,보통주,1000.0,95716791,2014-05-19,KR7027410000,027410,KOSPI
138930,BNK금융지주보통주,BNK금융지주,BNK Financial Group Inc.,KR7138930003,KOSPI,KOSPI,주권,-,보통주,5000.0,322088438,2011-03-30,KR7138930003,138930,KOSPI
001465,BYC1우선주,BYC우,BYC(1P),KR7001461003,KOSPI,KOSPI,주권,-,구형우선주,500.0,2153850,1989-09-05,KR7001461003,001465,KOSPI
001460,BYC보통주,BYC,BYC,KR7001460005,KOSPI,KOSPI,주권,-,보통주,500.0,6246150,1975-06-02,KR7001460005,001460,KOSPI
001045,CJ1우선주,CJ우,CJ(1P),KR7001041003,KOSPI,KOSPI,주권,-,구형우선주,5000.0,2260223,1989-08-18,KR7001041003,001045,KOSPI
00104K,CJ4우선주(전환),CJ4우(전환),CJ(4PC),KR700104K010,KOSPI,KOSPI,주권,-,신형우선주,5000.0,4226512,2019-08-09,KR700104K010,00104K,KOSPI
001040,CJ보통주,CJ,CJ Corp.,KR7001040005,KOSPI,KOSPI,주권,-,보통주,5000.0,29176998,1973-06-29,KR7001040005,001040,KOSPI
011155,CJ씨푸드1우선주,CJ씨푸드1우,CJSEAFOODCORPORATION(1P),KR7011151008,KOSPI,KOSPI,주권,-,구형우선주,500.0,200000,1990-01-13,KR7011151008,011155,KOSPI
011150,CJ씨푸드보통주,CJ씨푸드,CJSEAFOODCORPORATION,KR7011150000,KOSPI,KOSPI,주권,-,보통주,500.0,35930773,1988-11-26,KR7011150000,011150,KOSPI
000590,CS홀딩스보통주,CS홀딩스,CSHOLDINGS,KR7000590000,KOSPI,KOSPI,주권,-,보통주,5000.0,1154482,1975-12-22,KR7000590000,000590,KOSPI
012030,DB Inc.보통주,DB,DB Inc.,KR7012030003,KOSPI,KOSPI,주권,-,보통주,500.0,201173933,1993-01-06,KR7012030003,012030,KOSPI
016610,DB금융투자보통주,DB금융투자,"DB Financial Investment Co., LTD.",KR7016610008,KOSPI,KOSPI,주권,-,보통주,5000.0,42446389,1988-06-27,KR7016610008,016610,KOSPI
005830,DB손해보험보통주,DB손해보험,DB INSURANCE,KR7005830005,KOSPI,KOSPI,주권,-,보통주,500.0,70800000,1973-06-28,KR7005830005,005830,KOSPI
000990,DB하이텍보통주,DB하이텍,"DB HiTek Co.,LTD",KR7000990002,KOSPI,KOSPI,주권,-,보통주,5000.0,44398588,1975-12-12,KR7000990002,000990,KOSPI
139130,DGB금융지주보통주,DGB금융지주,DGB Financial Group,KR7139130009,KOSPI,KOSPI,주권,-,보통주,5000.0,169145833,2011-06-07,KR7139130009,139130,KOSPI
001530,DI동일보통주,DI동일,DI DONGIL,KR7001530005,KOSPI,KOSPI,주권,-,보통주,500.0,25215672,1964-01-04,KR7001530005,001530,KOSPI
000215,DL1우선주,DL우,DL(1P),KR7000211003,KOSPI,KOSPI,주권,-,구형우선주,5000.0,1686115,1989-08-21,KR7000211003,000215,KOSPI
000210,DL보통주,DL,DL,KR7000210005,KOSPI,KOSPI,주권,-,보통주,5000.0,20955884,1976-02-02,KR7000210005,000210,KOSPI
37550K,DL이앤씨1우선주,DL이앤씨우,"DL E&C CO., LTD.(1P)",KR737550K011,KOSPI,KOSPI,주권,-,종류주권,5000.0,2113885,2021-01-25,KR737550K011,37550K,KOSPI
37550L,DL이앤씨2우선주(전환),DL이앤씨2우(전환),DL E&C(2PC),KR737550K029,KOSPI,KOSPI,주권,-,신형우선주,5000.0,2111951,2022-04-28,KR737550K029,37550L,KOSPI
